date,s_A_10y_pp,s_BBB_10y_pp
2005Q1,1.0426,1.3226
2005Q2,0.8699,1.1499
2005Q3,1.1016,1.1716
2005Q4,0.706,0.856
2006Q1,1.0377,1.2177
2006Q2,1.1208,1.2608
2006Q3,0.7937,0.9437
2006Q4,1.2163,1.4863
2007Q1,1.0721,1.3521
2007Q2,1.2682,1.5382
2007Q3,1.4674,1.8574
2007Q4,2.2942,2.2542
2008Q1,2.5378,2.7578
2008Q2,2.7293,3.7293
2008Q3,2.5017,3.0917
2008Q4,3.5894,8.4694
2009Q1,5.0178,6.9978
2009Q2,2.9957,4.6757
2009Q3,2.3118,3.2218
2009Q4,2.2567,2.6267
2010Q1,2.1983,2.3683
2010Q2,1.8458,2.2558
2010Q3,2.0208,2.4308
2010Q4,2.1608,2.5208
2011Q1,1.7083,2.0983
2011Q2,1.8875,2.5675
2011Q3,2.0383,2.9183
2011Q4,2.2175,3.5675
2012Q1,2.3383,3.5683
2012Q2,2.1833,3.5833
2012Q3,2.1242,3.4242
2012Q4,2.0775,3.3175
2013Q1,1.8908,3.0008
2013Q2,2.3883,3.6983
2013Q3,1.7803,3.1903
2013Q4,1.5513,2.9713
2014Q1,1.292,2.412
2014Q2,0.9597,1.7197
2014Q3,1.2937,1.9637
2014Q4,0.9393,1.5493
2015Q1,1.311,1.921
2015Q2,1.811,2.411
2015Q3,1.9553,2.5253
2015Q4,2.3307,2.6507
2016Q1,2.022,2.652
2016Q2,1.4603,2.3303
2016Q3,1.536,2.256
2016Q4,1.7783,2.4083
2017Q1,1.359,1.859
2017Q2,1.4613,1.9013
2017Q3,1.3733,1.7933
2017Q4,1.1413,1.6413
2018Q1,1.0317,1.6017
2018Q2,1.1697,1.7497
2018Q3,1.3407,1.9107
2018Q4,1.2413,2.0313
2019Q1,1.042,1.822
2019Q2,1.0447,1.7847
2019Q3,1.0753,1.7853
2019Q4,1.3597,1.9697
2020Q1,1.701,2.791
2020Q2,1.225,2.425
2020Q3,0.6613,1.7113
2020Q4,0.632,1.412
2021Q1,1.1753,1.7853
2021Q2,0.6777,1.4077
2021Q3,1.2163,1.9463
2021Q4,1.3417,2.1017
2022Q1,2.3037,3.2537
2022Q2,2.6247,3.5047
2022Q3,2.8477,3.6277
2022Q4,2.448,3.278
2023Q1,1.8987,2.7187
2023Q2,2.3137,3.0637
2023Q3,1.855,2.725
2023Q4,0.644,1.394
2024Q1,1.1187,1.6887
2024Q2,1.1917,1.7217
2024Q3,0.8953,1.4153
2024Q4,0.5953,1.1153
