date,lev_gap_pp
1976Q3,1.6828
1976Q4,3.6696
1977Q1,-0.5838
1977Q2,1.9926
1977Q3,1.2329
1977Q4,0.7862
1978Q1,-0.5897
1978Q2,-0.4837
1978Q3,-2.8195
1978Q4,-2.2474
1979Q1,-3.6662
1979Q2,-0.7687
1979Q3,-0.5547
1979Q4,0.3661
1980Q1,-0.4376
1980Q2,-0.2476
1980Q3,-0.8067
1980Q4,-0.2187
1981Q1,-0.8666
1981Q2,1.8895
1981Q3,1.9653
1981Q4,3.1157
1982Q1,3.7672
1982Q2,4.5476
1982Q3,3.9595
1982Q4,1.2348
1983Q1,3.3048
1983Q2,0.6948
1983Q3,-3.659
1983Q4,-4.8255
1984Q1,-7.4411
1984Q2,-5.5252
1984Q3,-7.6379
1984Q4,-7.0359
1985Q1,-8.4986
1985Q2,-6.8158
1985Q3,-5.6304
1985Q4,-4.1192
1986Q1,-5.1853
1986Q2,-1.8876
1986Q3,0.7717
1986Q4,-0.2015
1987Q1,-2.2143
1987Q2,-0.9437
1987Q3,0.2643
1987Q4,3.1351
1988Q1,5.7077
1988Q2,8.7746
1988Q3,9.8912
1988Q4,11.7488
1989Q1,2.889
1989Q2,5.4905
1989Q3,6.4295
1989Q4,7.6212
1990Q1,7.169
1990Q2,8.463
1990Q3,8.6126
1990Q4,8.8477
1991Q1,7.3011
1991Q2,5.7106
1991Q3,4.175
1991Q4,2.2742
1992Q1,0.2328
1992Q2,-0.921
1992Q3,-2.7846
1992Q4,-5.3407
1993Q1,-5.5957
1993Q2,-6.3774
1993Q3,-7.0983
1993Q4,-7.5195
1994Q1,-8.8721
1994Q2,-8.4811
1994Q3,-8.2654
1994Q4,-7.8703
1995Q1,-8.3812
1995Q2,-7.0961
1995Q3,-4.7706
1995Q4,-1.9817
1996Q1,0.0978
1996Q2,0.3234
1996Q3,0.9241
1996Q4,0.9657
1997Q1,-0.1713
1997Q2,0.185
1997Q3,2.3328
1997Q4,3.8788
1998Q1,2.7627
1998Q2,2.3024
1998Q3,3.0469
1998Q4,3.7738
1999Q1,3.1374
1999Q2,2.7867
1999Q3,2.2173
1999Q4,1.4725
2000Q1,1.2046
2000Q2,1.8316
2000Q3,2.0661
2000Q4,2.5929
2001Q1,3.8278
2001Q2,3.0494
2001Q3,1.2655
2001Q4,-0.2286
2002Q1,-1.2737
2002Q2,3.6046
2002Q3,3.4679
2002Q4,0.0075
2003Q1,0.1874
2003Q2,-2.1784
2003Q3,-6.2155
2003Q4,-5.8232
2004Q1,-7.6554
2004Q2,-6.9076
2004Q3,-7.3658
2004Q4,-6.6749
2005Q1,-7.2552
2005Q2,-6.4915
2005Q3,-5.6719
2005Q4,-4.0192
2006Q1,-3.1712
2006Q2,-2.2853
2006Q3,-2.5793
2006Q4,-0.7943
2007Q1,0.6293
2007Q2,3.3609
2007Q3,7.0365
2007Q4,11.2392
2008Q1,12.3586
2008Q2,11.9886
2008Q3,13.049
2008Q4,12.6881
2009Q1,9.7899
2009Q2,6.3875
2009Q3,3.5226
2009Q4,0.9544
2010Q1,-1.0076
2010Q2,-2.6009
2010Q3,-3.7996
2010Q4,-4.6646
2011Q1,-4.1579
2011Q2,-5.0305
2011Q3,-3.9703
2011Q4,-2.7685
2012Q1,-2.2603
2012Q2,-0.8666
2012Q3,-0.8494
2012Q4,-1.7586
2013Q1,-2.374
2013Q2,-1.9528
2013Q3,-2.7291
2013Q4,-2.5375
2014Q1,-2.4392
2014Q2,-1.4338
2014Q3,-1.6663
2014Q4,-1.5301
2015Q1,-0.9961
2015Q2,-0.9399
2015Q3,0.5325
2015Q4,1.0263
2016Q1,1.696
2016Q2,1.2653
2016Q3,1.0597
2016Q4,1.5804
2017Q1,0.3189
2017Q2,0.9912
2017Q3,0.6059
2017Q4,0.1563
2018Q1,-0.1032
2018Q2,-0.2096
2018Q3,0.7186
2018Q4,0.8828
2019Q1,0.4905
2019Q2,-0.6845
