date,ph_spliced
1959-09-01,3.1346
1959-12-01,3.1229
1960-03-01,3.1095
1960-06-01,3.0947
1960-09-01,3.1078
1960-12-01,3.1226
1961-03-01,3.1411
1961-06-01,3.1623
1961-09-01,3.2128
1961-12-01,3.2638
1962-03-01,3.3137
1962-06-01,3.3610
1962-09-01,3.3624
1962-12-01,3.3631
1963-03-01,3.3628
1963-06-01,3.3628
1963-09-01,3.4476
1963-12-01,3.5296
1964-03-01,3.6079
1964-06-01,3.6831
1964-09-01,3.7107
1964-12-01,3.7377
1965-03-01,3.7626
1965-06-01,3.7866
1965-09-01,3.8205
1965-12-01,3.8556
1966-03-01,3.8912
1966-06-01,3.9005
1966-09-01,3.8924
1966-12-01,3.8838
1967-03-01,3.8762
1967-06-01,3.8671
1967-09-01,3.9094
1967-12-01,3.9501
1968-03-01,3.9911
1968-06-01,4.0303
1968-09-01,4.0982
1968-12-01,4.1645
1969-03-01,4.2288
1969-06-01,4.2920
1969-09-01,4.4026
1969-12-01,4.5121
1970-03-01,4.6029
1970-06-01,4.6768
1970-09-01,4.7876
1970-12-01,4.9255
1971-03-01,5.0462
1971-06-01,5.1521
1971-09-01,5.3023
1971-12-01,5.4624
1972-03-01,5.5437
1972-06-01,5.6397
1972-09-01,5.7727
1972-12-01,6.0830
1973-03-01,6.2185
1973-06-01,6.5756
1973-09-01,7.1494
1973-12-01,7.6567
1974-03-01,8.1788
1974-06-01,8.4891
1974-09-01,8.5605
1974-12-01,8.8659
1975-03-01,9.0974
1975-06-01,9.4250
1975-09-01,9.7722
1975-12-01,9.9766
1976-03-01,10.3879
1976-06-01,10.6908
1976-09-01,10.6219
1976-12-01,11.0356
1977-03-01,11.2893
1977-06-01,11.4395
1977-09-01,11.4223
1977-12-01,11.6168
1978-03-01,11.8138
1978-06-01,11.7178
1978-09-01,11.6932
1978-12-01,11.9345
1979-03-01,12.0527
1979-06-01,12.1512
1979-09-01,12.3950
1979-12-01,12.9098
1980-03-01,13.1807
1980-06-01,13.6609
1980-09-01,13.9909
1980-12-01,13.8382
1981-03-01,15.0080
1981-06-01,15.5843
1981-09-01,15.6779
1981-12-01,16.2320
1982-03-01,16.3158
1982-06-01,16.6482
1982-09-01,16.4512
1982-12-01,16.6310
1983-03-01,16.8231
1983-06-01,17.3526
1983-09-01,17.2321
1983-12-01,17.6352
1984-03-01,18.1786
1984-06-01,18.6072
1984-09-01,19.7330
1984-12-01,19.7530
1985-03-01,20.6876
1985-06-01,21.4746
1985-09-01,21.3767
1985-12-01,21.8487
1986-03-01,21.9731
1986-06-01,22.1493
1986-09-01,22.0078
1986-12-01,22.2912
1987-03-01,22.7296
1987-06-01,22.9745
1987-09-01,23.3816
1987-12-01,24.2593
1988-03-01,24.7319
1988-06-01,25.5551
1988-09-01,28.3470
1988-12-01,30.1921
1989-03-01,31.2543
1989-06-01,31.8940
1989-09-01,32.3137
1989-12-01,32.5019
1990-03-01,32.9469
1990-06-01,33.3571
1990-09-01,33.0699
1990-12-01,33.0430
1991-03-01,33.5509
1991-06-01,33.6583
1991-09-01,34.2551
1991-12-01,34.3480
1992-03-01,33.7100
1992-06-01,34.1073
1992-09-01,34.2851
1992-12-01,34.4395
1993-03-01,33.9665
1993-06-01,34.3787
1993-09-01,34.5383
1993-12-01,35.2256
1994-03-01,36.1929
1994-06-01,36.3344
1994-09-01,36.8113
1994-12-01,36.9198
1995-03-01,36.5793
1995-06-01,36.7961
1995-09-01,36.2712
1995-12-01,36.0233
1996-03-01,36.3902
1996-06-01,37.1090
1996-09-01,37.2657
1996-12-01,39.0350
1997-03-01,39.2914
1997-06-01,40.4118
1997-09-01,41.5251
1997-12-01,40.7746
1998-03-01,40.7271
1998-06-01,41.3987
1998-09-01,42.0207
1998-12-01,42.2374
1999-03-01,43.7644
1999-06-01,43.8146
1999-09-01,45.5493
1999-12-01,47.2109
2000-03-01,47.0198
2000-06-01,47.1598
2000-09-01,47.4198
2000-12-01,47.7673
2001-03-01,50.0174
2001-06-01,51.3609
2001-09-01,54.1631
2001-12-01,54.4680
2002-03-01,55.7325
2002-06-01,58.3118
2002-09-01,61.2590
2002-12-01,61.3772
2003-03-01,63.3001
2003-06-01,66.1990
2003-09-01,69.0000
2003-12-01,71.6000
2004-03-01,71.3000
2004-06-01,70.6000
2004-09-01,70.6000
2004-12-01,71.8000
2005-03-01,71.7000
2005-06-01,72.2000
2005-09-01,72.1000
2005-12-01,73.5000
2006-03-01,74.3000
2006-06-01,77.0000
2006-09-01,78.4000
2006-12-01,79.8000
2007-03-01,80.5000
2007-06-01,84.1000
2007-09-01,87.1000
2007-12-01,90.4000
2008-03-01,90.8000
2008-06-01,90.0000
2008-09-01,88.0000
2008-12-01,86.8000
2009-03-01,86.6000
2009-06-01,90.2000
2009-09-01,94.0000
2009-12-01,99.2000
2010-03-01,102.3000
2010-06-01,104.3000
2010-09-01,103.0000
2010-12-01,103.6000
2011-03-01,102.7000
2011-06-01,102.0000
2011-09-01,100.2000
2011-12-01,99.4000
2012-03-01,100.0000
2012-06-01,100.4000
2012-09-01,100.2000
2012-12-01,102.4000
2013-03-01,103.1000
2013-06-01,105.7000
2013-09-01,108.3000
2013-12-01,112.6000
2014-03-01,114.2000
2014-06-01,116.4000
2014-09-01,117.8000
2014-12-01,120.2000
2015-03-01,122.1000
2015-06-01,127.8000
2015-09-01,130.4000
2015-12-01,130.6000
2016-03-01,130.4000
2016-06-01,133.0000
2016-09-01,135.0000
2016-12-01,140.6000
2017-03-01,143.7000
2017-06-01,146.5000
2017-09-01,146.2000
2017-12-01,147.6000
2018-03-01,146.6000
2018-06-01,145.6000
2018-09-01,143.4000
2018-12-01,140.0000
2019-03-01,135.8000
2019-06-01,134.8000
2019-09-01,138.1000
2019-12-01,143.5000
2020-03-01,145.8000
2020-06-01,143.2000
2020-09-01,144.3000
2020-12-01,148.7000
2021-03-01,156.7000
2021-06-01,167.2000
2021-09-01,175.6000
2021-12-01,183.9000
